점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자
GS25 청담중앙점,서울특별시,강남구,11680,서울특별시 강남구 선릉로148길 32,,37.5226105,127.042187,,서울강남경찰서,,Y,2026-01-29
GS25 청담타운점,서울특별시,강남구,11680,서울특별시 강남구 삼성로145길 16,,37.5225416,127.046944,,서울강남경찰서,,Y,2026-01-29
GS25 포이그린점,서울특별시,강남구,11680,서울특별시 강남구 개포로25길 15,,37.4799477,127.0480005,,서울수서경찰서,,Y,2026-01-29
GS25 포이점,서울특별시,강남구,11680,서울특별시 강남구 개포로22길 40,,37.4765057,127.0493261,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 KT강남점,서울특별시,강남구,11680,서울특별시 강남구 언주로 517,,37.50433183,127.0415199,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 강남선릉점,서울특별시,강남구,11680,서울특별시 강남구 언주로98길 37,,37.5047589,127.0448202,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 개포1호점,서울특별시,강남구,11680,서울특별시 강남구 선릉로 48,,37.48360708,127.059715,,서울수서경찰서,,N,2026-01-29
세븐일레븐 개포2호점,서울특별시,강남구,11680,서울특별시 강남구 개포로 512,,37.4893117,127.0688124,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 개포본점,서울특별시,강남구,11680,서울특별시 강남구 개포로28길 15,,37.47807861,127.0499559,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 거평타운점,서울특별시,강남구,11680,서울특별시 강남구 봉은사로 129,,37.5059169,127.0283077,,서울강남경찰서,,Y,2026-01-29
CU 대치동부점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로78길 8,,37.50562267,127.055221,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 논현12호점,서울특별시,강남구,11680,서울특별시 강남구 강남대로128길 48,,37.5111526,127.025632,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 논현13호점,서울특별시,강남구,11680,서울특별시 강남구 학동로43길 14,,37.5170337,127.0375091,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 논현보람점,서울특별시,강남구,11680,서울특별시 강남구 논현로132길 15,,37.5152193,127.0318073,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 논현제일점,서울특별시,강남구,11680,서울특별시 강남구 선릉로 641,,37.5137766,127.0422874,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 논현한바위점,서울특별시,강남구,11680,서울특별시 강남구 강남대로118길 30,,37.50685922,127.0257676,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 논현힐탑점,서울특별시,강남구,11680,서울특별시 강남구 논현로 639,,37.5105313,127.032098,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 뉴강남센터점,서울특별시,강남구,11680,서울특별시 강남구 강남대로96길 9,,37.4998965,127.027723,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 대치10호점,서울특별시,강남구,11680,서울특별시 강남구 역삼로64길 25,,37.4994391,127.0535637,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 대치6호점,서울특별시,강남구,11680,서울특별시 강남구 삼성로85길 19,,37.50471783,127.055754,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 대치멤버스점,서울특별시,강남구,11680,서울특별시 강남구 삼성로85길 42,,37.5045291,127.0538023,,서울수서경찰서,,Y,2026-01-29
CU 대치메트로칸점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로88길 10,,37.5068062,127.0594495,,서울수서경찰서,,Y,2026-01-29
세븐일레븐 대치선릉로점,서울특별시,강남구,11680,서울특별시 강남구 테헤란로68길 33,,37.50320174,127.0531092,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 대치으뜸점,서울특별시,강남구,11680,서울특별시 강남구 삼성로76길 16,,37.50406664,127.0596522,,서울강남경찰서,,Y,2026-01-29
세븐일레븐 대치점,서울특별시,강남구,11680,서울특별시 강남구 삼성로 150,,37.49571728,127.0686391,,서울수서경찰서,,Y,2026-01-29
